Date, 2023-06-05 14:57:35.636 -06:00
Start (nm), 108.000
Stop (nm), 294.000
Actual Stop (nm), 294.000
Step Size (nm), 1.000
Number of Steps, 186
Averages, 3
Sensitivity, High
Monochromator Grating (l/mm), 1200
Monochromator Fundamental Wavelength (nm), 1033.000
Monochromator Half Angle (deg), 3.25
Monochromator Zero-Order Angle (deg), -30.4718309859155
SHG Delay Position (fs), 110398.0
Pressure Setpoint (Torr), 750.0
Actual Pressure (Torr), 721.2
Gas Input Pressure (Torr), NaN

Angle (deg), Wavelength (nm), Energy (eV), Photocurrent (A), Time (s)
3.721363, 108.000, 11.480019, -7.79031e-13, 0.000
3.755870, 109.000, 11.374697, 6.60876e-14, 3.657
3.790377, 110.000, 11.271291, 5.96129e-12, 7.315
3.824886, 111.000, 11.169748, 3.91114e-13, 11.018
3.859397, 112.000, 11.070018, -8.90728e-12, 14.707
3.893909, 113.000, 10.972053, 3.22279e-11, 18.376
3.928422, 114.000, 10.875807, 5.06337e-11, 22.130
3.962936, 115.000, 10.781235, 4.01633e-11, 25.822
3.997453, 116.000, 10.688293, 7.17978e-12, 29.501
4.031970, 117.000, 10.596940, 6.56214e-13, 33.180
4.066489, 118.000, 10.507136, 3.90092e-13, 36.954
4.101010, 119.000, 10.418840, 2.03459e-13, 40.711
4.135532, 120.000, 10.332017, 1.88263e-13, 44.397
4.170055, 121.000, 10.246628, 2.45894e-13, 48.063
4.204580, 122.000, 10.162639, 2.77772e-13, 51.732
4.239107, 123.000, 10.080016, 2.88397e-13, 55.351
4.273635, 124.000, 9.998726, 2.22872e-13, 59.041
4.308164, 125.000, 9.918736, 1.16130e-13, 62.639
4.342696, 126.000, 9.840016, 1.30575e-12, 66.330
4.377228, 127.000, 9.762535, 1.98424e-11, 70.018
4.411763, 128.000, 9.686266, 3.22191e-11, 73.688
4.446299, 129.000, 9.611178, 3.19838e-11, 77.329
4.480836, 130.000, 9.537246, 1.14189e-11, 81.006
4.515375, 131.000, 9.464443, 1.96196e-12, 84.803
4.549916, 132.000, 9.392742, 1.09982e-12, 88.473
4.584459, 133.000, 9.322120, -6.89285e-13, 92.145
4.619003, 134.000, 9.252552, 9.68907e-13, 95.925
4.653549, 135.000, 9.184015, 1.55965e-13, 99.736
4.688097, 136.000, 9.116485, 9.42803e-14, 103.344
4.722646, 137.000, 9.049942, 4.62344e-13, 107.030
4.757197, 138.000, 8.984362, 1.16773e-13, 110.721
4.791750, 139.000, 8.919727, -1.58456e-12, 114.421
4.826304, 140.000, 8.856014, -1.82071e-12, 118.106
4.860860, 141.000, 8.793206, -1.48399e-13, 121.783
4.895418, 142.000, 8.731282, 1.06938e-12, 125.473
4.929978, 143.000, 8.670224, -1.52081e-12, 129.146
4.964540, 144.000, 8.610014, 1.54783e-12, 132.826
4.999103, 145.000, 8.550634, 4.05982e-11, 136.460
5.033668, 146.000, 8.492068, 8.81236e-11, 140.165
5.068236, 147.000, 8.434299, 1.49190e-10, 143.892
5.102804, 148.000, 8.377311, 1.17041e-10, 147.672
5.137375, 149.000, 8.321087, 4.75928e-11, 151.416
5.171948, 150.000, 8.265613, 8.68252e-12, 155.146
5.206522, 151.000, 8.210874, 5.03093e-13, 158.768
5.241099, 152.000, 8.156855, 3.58966e-13, 162.378
5.275677, 153.000, 8.103542, 2.36599e-12, 165.967
5.310258, 154.000, 8.050922, -6.71002e-13, 169.670
5.344840, 155.000, 7.998981, 1.77392e-12, 173.342
5.379424, 156.000, 7.947705, 8.49055e-12, 176.984
5.414010, 157.000, 7.897083, 2.61010e-13, 180.622
5.448598, 158.000, 7.847101, -4.43553e-12, 184.320
5.483188, 159.000, 7.797748, -2.28429e-14, 187.988
5.517781, 160.000, 7.749013, 8.12283e-13, 191.751
5.552375, 161.000, 7.700882, -1.10693e-13, 195.403
5.586971, 162.000, 7.653346, -2.69024e-13, 199.095
5.621569, 163.000, 7.606393, -3.48322e-13, 202.762
5.656169, 164.000, 7.560012, -2.88781e-13, 206.363
5.690772, 165.000, 7.514194, -6.53855e-14, 210.034
5.725376, 166.000, 7.468928, 2.91554e-13, 213.708
5.759983, 167.000, 7.424204, -4.97942e-13, 217.400
5.794591, 168.000, 7.380012, 5.97746e-13, 220.987
5.829202, 169.000, 7.336343, 6.16808e-12, 224.628
5.863815, 170.000, 7.293188, 1.66536e-11, 228.255
5.898430, 171.000, 7.250538, 3.86032e-11, 231.990
5.933047, 172.000, 7.208384, 5.71802e-11, 235.793
5.967667, 173.000, 7.166717, 5.25598e-11, 239.491
6.002288, 174.000, 7.125529, 2.28303e-11, 243.118
6.036912, 175.000, 7.084811, 4.86158e-12, 246.801
6.071538, 176.000, 7.044557, 4.91573e-13, 250.416
6.106166, 177.000, 7.004757, 5.30131e-13, 254.104
6.140797, 178.000, 6.965404, -8.57910e-14, 257.759
6.175429, 179.000, 6.926492, -1.40304e-12, 261.403
6.210064, 180.000, 6.888011, 5.33863e-14, 265.022
6.244701, 181.000, 6.849956, 1.44634e-12, 268.704
6.279341, 182.000, 6.812319, -1.05657e-13, 272.372
6.313983, 183.000, 6.775093, 2.21412e-12, 276.071
6.348627, 184.000, 6.738272, 1.72728e-12, 279.757
6.383273, 185.000, 6.701849, 1.55111e-13, 283.421
6.417922, 186.000, 6.665817, 4.61309e-13, 287.191
6.452573, 187.000, 6.630171, 1.32241e-12, 290.859
6.487227, 188.000, 6.594904, 3.08308e-12, 294.550
6.521883, 189.000, 6.560011, 2.05402e-12, 298.231
6.556541, 190.000, 6.525484, -1.68389e-11, 302.014
6.591202, 191.000, 6.491319, -1.47452e-13, 305.763
6.625865, 192.000, 6.457510, -7.20961e-13, 309.487
6.660531, 193.000, 6.424052, -1.21822e-12, 313.116
6.695199, 194.000, 6.390938, -2.37797e-12, 316.715
6.729869, 195.000, 6.358164, 2.50780e-12, 320.364
6.764542, 196.000, 6.325724, 2.03015e-13, 324.061
6.799218, 197.000, 6.293614, -2.24877e-13, 327.734
6.833896, 198.000, 6.261828, -1.67387e-12, 331.393
6.868576, 199.000, 6.230362, -1.84697e-14, 334.984
6.903259, 200.000, 6.199210, 2.38286e-12, 338.660
6.937945, 201.000, 6.168368, -2.52547e-13, 342.281
6.972633, 202.000, 6.137832, 2.12643e-12, 346.029
7.007324, 203.000, 6.107596, 4.16171e-12, 349.718
7.042017, 204.000, 6.077657, 8.58777e-12, 353.555
7.076713, 205.000, 6.048010, 2.79593e-11, 357.267
7.111411, 206.000, 6.018650, 3.29927e-11, 360.871
7.146112, 207.000, 5.989575, 2.49126e-11, 364.564
7.180816, 208.000, 5.960779, 1.04450e-11, 368.238
7.215522, 209.000, 5.932258, 2.30135e-12, 371.906
7.250231, 210.000, 5.904010, 3.63401e-12, 375.601
7.284943, 211.000, 5.876028, -1.59810e-13, 379.286
7.319658, 212.000, 5.848311, 4.63357e-13, 382.939
7.354375, 213.000, 5.820854, 6.39484e-13, 386.647
7.389094, 214.000, 5.793654, -2.58623e-12, 390.303
7.423817, 215.000, 5.766707, -3.26779e-12, 393.924
7.458542, 216.000, 5.740009, 9.50020e-13, 397.630
7.493270, 217.000, 5.713558, 3.67215e-12, 401.360
7.528001, 218.000, 5.687349, 7.53413e-13, 405.157
7.562735, 219.000, 5.661379, -3.48718e-12, 408.989
7.597471, 220.000, 5.635645, -3.06291e-12, 412.776
7.632210, 221.000, 5.610145, 1.53404e-12, 416.425
7.666952, 222.000, 5.584874, 6.93336e-13, 420.112
7.701697, 223.000, 5.559830, 2.52523e-13, 423.738
7.736445, 224.000, 5.535009, 4.91647e-13, 427.435
7.771196, 225.000, 5.510409, 1.20921e-12, 431.237
7.805949, 226.000, 5.486027, 3.12774e-12, 434.907
7.840705, 227.000, 5.461859, 1.87008e-12, 438.596
7.875465, 228.000, 5.437904, 4.90538e-12, 442.252
7.910227, 229.000, 5.414157, 3.81630e-12, 446.007
7.944992, 230.000, 5.390617, 2.28969e-12, 449.772
7.979760, 231.000, 5.367281, 5.02208e-13, 453.530
8.014531, 232.000, 5.344147, 1.18040e-13, 457.217
8.049305, 233.000, 5.321210, -3.00528e-13, 460.903
8.084082, 234.000, 5.298470, 9.02272e-14, 464.560
8.118862, 235.000, 5.275923, 1.88564e-12, 468.212
8.153645, 236.000, 5.253568, 1.69486e-12, 471.865
8.188431, 237.000, 5.231401, 2.44007e-12, 475.550
8.223220, 238.000, 5.209420, 2.14928e-12, 479.169
8.258012, 239.000, 5.187623, 3.04611e-13, 482.863
8.292807, 240.000, 5.166008, -1.51107e-12, 486.514
8.327605, 241.000, 5.144573, 8.19688e-13, 490.222
8.362407, 242.000, 5.123314, 2.85292e-12, 493.880
8.397211, 243.000, 5.102230, 4.80242e-13, 497.526
8.432018, 244.000, 5.081320, 6.57504e-13, 501.128
8.466829, 245.000, 5.060580, -5.08890e-13, 504.778
8.501643, 246.000, 5.040008, -2.67481e-12, 508.513
8.536460, 247.000, 5.019603, -4.66971e-13, 512.174
8.571280, 248.000, 4.999363, 4.65418e-12, 515.865
8.606104, 249.000, 4.979285, -5.23892e-12, 519.548
8.640930, 250.000, 4.959368, 3.04605e-13, 523.219
8.675760, 251.000, 4.939610, 2.97871e-12, 527.040
8.710593, 252.000, 4.920008, 2.71679e-12, 530.796
8.745429, 253.000, 4.900561, 7.64632e-13, 534.441
8.780269, 254.000, 4.881268, 6.50160e-13, 538.043
8.815111, 255.000, 4.862125, 1.18459e-12, 541.700
8.849958, 256.000, 4.843133, 4.32130e-12, 545.350
8.884807, 257.000, 4.824288, 5.55246e-12, 549.030
8.919660, 258.000, 4.805589, 6.23286e-12, 552.664
8.954516, 259.000, 4.787035, 3.34815e-12, 556.339
8.989375, 260.000, 4.768623, 2.47425e-12, 559.962
9.024238, 261.000, 4.750352, 8.03730e-13, 563.638
9.059104, 262.000, 4.732221, 7.40880e-13, 567.284
9.093973, 263.000, 4.714228, 1.09150e-12, 570.982
9.128846, 264.000, 4.696371, 9.68678e-14, 574.615
9.163722, 265.000, 4.678649, 3.49217e-13, 578.295
9.198602, 266.000, 4.661060, 1.13697e-12, 581.970
9.233485, 267.000, 4.643603, -5.69186e-13, 585.650
9.268372, 268.000, 4.626276, 1.65534e-12, 589.307
9.303262, 269.000, 4.609078, 1.22289e-12, 592.959
9.338155, 270.000, 4.592007, 1.97210e-13, 596.588
9.373052, 271.000, 4.575063, 1.98367e-12, 600.253
9.407953, 272.000, 4.558243, 6.95979e-13, 603.956
9.442857, 273.000, 4.541546, 5.55170e-12, 607.640
9.477765, 274.000, 4.524971, 4.31742e-12, 611.299
9.512676, 275.000, 4.508516, -3.02732e-12, 614.988
9.547590, 276.000, 4.492181, 1.37568e-12, 618.734
9.582509, 277.000, 4.475964, 1.71427e-13, 622.394
9.617431, 278.000, 4.459863, 8.28173e-14, 626.063
9.652356, 279.000, 4.443878, 2.80038e-12, 629.750
9.687285, 280.000, 4.428007, 1.01579e-12, 633.505
9.722218, 281.000, 4.412249, -3.54841e-14, 637.386
9.757154, 282.000, 4.396603, 8.53865e-13, 641.049
9.792095, 283.000, 4.381067, 1.61642e-13, 644.751
9.827038, 284.000, 4.365641, 3.53991e-13, 648.434
9.861986, 285.000, 4.350323, -2.44059e-13, 652.142
9.896937, 286.000, 4.335112, 2.19260e-13, 655.792
9.931892, 287.000, 4.320007, 3.49700e-13, 659.448
9.966850, 288.000, 4.305007, 5.25900e-13, 663.230
10.001813, 289.000, 4.290111, -1.05879e-14, 666.917
10.036779, 290.000, 4.275317, 3.44519e-13, 670.622
10.071749, 291.000, 4.260625, 2.74071e-13, 674.293
10.106722, 292.000, 4.246034, 1.50267e-12, 678.049
10.141700, 293.000, 4.231543, 6.99653e-12, 681.804
10.176681, 294.000, 4.217150, 6.00529e-12, 685.561
